date,rr_25d,bf_25d,atm_iv,term_slope,spot,n_expiries
2026-06-27,2.5981461194259285,0.9131890343942094,0.4278273222771837,0.0,1573.45,1
2026-06-28,2.1299655950467877,0.6790359647925596,0.42973825050312897,0.0,1577.75,1
2026-06-29,2.422437359081598,0.8281197368416996,0.43334537519156,0.0,1590.35,1
2026-06-30,1.5923150854644246,0.4087504295343021,0.4310722229152204,0.0,1576.25,1
2026-07-01,1.9675847915342661,0.5533753816696565,0.44045136370516924,0.0,1614.4,1
2026-07-02,1.726752205646424,0.41294519373239535,0.4610148086993521,0.0,1716.55,1
2026-07-03,0.8819609085401029,0.0028104868099476654,0.46830548780086484,0.0,1757.05,1
2026-07-04,2.103318545778524,0.6163948577071092,0.4709468896027156,0.0,1769.05,1
2026-07-05,1.720083694711765,0.424932783750251,0.4721339622437509,0.0,1771.45,1
2026-07-06,1.566454308671892,0.34677973225098685,0.4728430048775702,0.0,1770.2,1
2026-07-07,1.2359056455530881,0.17633087509387835,0.471655140960785,0.0,1756.15,1
2026-07-08,1.770878673672873,0.4424776748927704,0.4719487966302594,0.0,1752.3,1
2026-07-09,0.875106745824077,0.0005193515187622011,0.47569474813349755,0.0,1773.15,1
2026-07-10,1.9164798686140574,0.5294983771587433,0.47973059577943167,0.0,1799.1,1
2026-07-11,1.9862150162886172,0.5634240685980562,0.48036744813083343,0.0,1797.85,1
2026-07-12,1.9715479051681721,0.5518408550288744,0.47984558296944535,0.0,1786.65,1
2026-07-13,1.920844332988806,0.523307270048917,0.47979341064451814,0.0,1779.4,1
2026-07-14,1.8380214186272257,0.46563118307703544,0.4892345836806038,0.0,1869.7,1
2026-07-15,1.85105606763168,0.4396678206368649,0.49235387762093025,0.0,1909.9,1
2026-07-16,0.8283562139745158,-0.056788985207169684,0.48697057525182963,0.0,1827.15,1
2026-07-17,0.2319915333879192,-0.34851152406088126,0.48898144712033065,0.0,1843.45,1
2026-07-18,1.8190595925710666,0.4549855602019953,0.4914236694084314,0.0,1869.25,1
2026-07-19,2.539665483008134,0.8119557437235135,0.49150481546808955,0.0,1862.4,1
2026-07-20,1.9565754336735077,0.5017210739335393,0.4955190462345248,0.0,1933.8,1
2026-07-21,2.2540853389581543,0.6408722906959914,0.49507104289435677,0.0,1913.75,1
2026-07-22,2.471178876569178,0.7497762609540279,0.4954957071365354,0.0,1915.15,1
2026-07-23,1.888873354783097,0.5002077893832914,0.4950582268918652,0.0,1895.05,1
2026-07-24,1.2154172112908384,0.1451110419819316,0.49353890415702417,0.0,1854.45,1
2026-07-25,2.5409056474059857,0.819472003206843,0.49521964141981534,0.0,1880.3,1
2026-07-26,1.7609768681724738,0.4168727924953959,0.49796939628583514,0.0,1963.85,1
2026-07-27,1.9270349680596766,0.5133141759507138,0.4960271730468193,0.0,1882.05,1
2026-07-28,2.573242921615044,0.803471360329646,0.49753570320739193,0.0,1922.6,1
2026-07-29,0.7501600081847309,-0.12068849764583317,0.4972404068451184,0.0,1901.15,1
2026-07-30,2.3514803762568217,0.7286333368045594,0.49717919374707953,0.0,1888.4,1
2026-07-31,1.698348339700565,0.36473845609681466,0.49687760667963654,0.0,1868.35,1
2026-08-01,1.1995256100642595,0.20002167230891932,0.4143840751055435,-1.199904130653869,1874.3,2
2026-08-02,1.0712172073235242,0.12239949148684032,0.4369700246317189,-2.1751069969099324,1842.0,2
2026-08-03,0.9214437395876536,0.02292491982214026,0.4463097124830429,-0.3016576271118837,1862.75,2
2026-08-04,1.3495597591284532,0.23345719762552508,0.45436633613249233,-1.1717812360434547,1871.25,2
2026-08-05,1.1451214419245455,0.12746612704033128,0.45098842806469996,-1.579129538598884,1908.3,2
2026-08-06,0.9948001552687188,0.09927306013161347,0.39962515204662963,-1.866353527359229,1901.35,2
2026-08-07,0.5706649696988958,-0.13236240929720738,0.427387452109506,-0.5631510939014361,1914.95,2
2026-08-08,1.3197923678366845,0.2406355844583087,0.43071438548090907,-2.1811551631328894,1918.15,2
2026-08-09,1.1636287119355662,0.16667592666110367,0.4300222537758367,-2.059910780309763,1924.45,2
2026-08-10,0.5303661489406631,-0.15535911713679115,0.43670857290773024,-0.5411135245260708,1875.95,2
2026-08-11,1.7548602300506526,0.46414429887462905,0.4371604554303381,-1.9635515612422667,1890.05,2
2026-08-12,0.5116495625229264,-0.1431512853049377,0.42493197168786817,0.5336423001101982,1893.8,2
2026-08-13,0.6150627727201291,-0.12282565505657747,0.44458484455936387,-1.0749128175024232,1871.95,2
2026-08-14,0.8172944453345637,-0.0008360425670106697,0.42760518831544814,-0.09048104818792235,1878.8,2
2026-08-15,0.7835046606018117,-0.048576027114168585,0.4590953169386886,0.02830651563243336,1879.6,2
2026-08-16,0.42389453981121267,-0.2504481141280207,0.4627097574242433,-0.31505857277602256,1900.05,2
2026-08-17,0.96898319779139,0.056875808998348376,0.45593207471313857,0.10340599460617272,1896.65,2
2026-08-18,1.7220136674636073,0.41150951664302454,0.45995638445669373,-1.824691959287073,1914.9,2
2026-08-19,1.2672988324626653,0.19282838852840622,0.44248921189469653,-0.6756499675996879,2251.75,2
2026-08-20,0.6042057776803902,-0.11925170048357309,0.44741500070417783,0.13045833905647275,2372.7,2
2026-08-21,0.8128961962414581,-0.026520364228670545,0.45006337724396706,-1.370621643983099,2433.4,2
2026-08-22,1.1915787718849353,0.18558046570259254,0.4437836881663799,-2.2854211382326124,2388.8,2
