entry_date,exit_date,expiry,dte_at_entry,entry_price,exit_price,entry_rr_25,exit_rr_25,hold_days,gross_return_pct,net_return_pct,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,month
2026-07-06,2026-07-07,2026-09-25,81.0,64.6123,64.099475,-0.054138783144949576,0.011966464611941507,1,-0.7936956276127092,-2.7936956276127094,-3.893649617116673,0.07777012721100882,4.28458510494509,-0.8788638642681721,2026-07
2026-07-08,2026-07-09,2026-09-25,79.0,56.0736,62.06025000000001,-0.07401355942213561,-0.0340026211765434,1,10.676414569423065,8.676414569423065,5.322086429257305,0.17059692596184037,1.3145609928980535,-0.8323706290241253,2026-07
2026-07-17,2026-07-19,2026-09-25,70.0,43.321075,55.872,-0.06767405600525744,-0.025906801870189566,2,28.971868772877862,26.971868772877862,4.192459600256754,0.14230236811845284,9.404991733676027,-1.5904809453332394,2026-07
2026-07-18,2026-07-19,2026-09-25,69.0,55.142875,55.872,-0.07344364477594889,-0.025906801870189566,1,1.3222469811376418,-0.6777530188623583,-1.7494091132572935,0.018920273646734473,3.439388715830912,-0.9279887876054554,2026-07
2026-07-20,2026-07-21,2026-09-25,67.0,53.1795,52.628125,-0.0541933477922365,0.0285244559295994,1,-1.0368186989347403,-3.03681869893474,-4.834378525443782,0.1512648227219312,5.2829655710987415,-0.9632007565994591,2026-07
2026-08-05,2026-08-06,2026-09-25,51.0,43.890899999999995,42.780375,-0.07183043885118379,-0.0013393137714942105,1,-2.5301941860385537,-4.530194186038554,-1.6612798830326259,0.02203694976927118,1.5923216719164652,-1.033808360615346,2026-08
2026-08-11,2026-08-12,2026-09-25,45.0,34.965925,34.0884,-0.05397567060231523,-0.008931449715466,1,-2.509657616665364,-4.509657616665363,0.7831880728899085,0.006300288511968942,-0.6379377098617135,-1.0233291742140351,2026-08
2026-08-14,2026-08-17,2026-10-30,77.0,56.364,58.796150000000004,-0.023498550011669672,0.00908803432843519,3,4.315076999503241,2.3150769995032414,4.423411008304287,0.11823146908177568,0.6220182620526696,-2.6259729432245535,2026-08
2026-08-15,2026-08-17,2026-10-30,76.0,56.388,58.796150000000004,-0.02884723538919176,0.00908803432843519,2,4.270678158473445,2.2706781584734452,4.228958753627875,0.10801658661005585,-0.08603846728266701,-1.7729943899078484,2026-08
2026-08-16,2026-08-17,2026-09-25,40.0,42.751124999999995,39.82965,-0.07448453207364802,-0.03474979404536127,1,-6.83367981544344,-8.83367981544344,-0.91948205002133,0.006887295277176636,-0.8940813134198113,-1.1487224696804483,2026-08
2026-09-02,2026-09-03,2026-09-25,23.0,43.163999999999994,36.318875,-0.02897295924627885,0.03671041447467038,1,-15.858412102678152,-17.85841210267815,28.361114583088668,6.599955969636772,10.562658122149113,-2.018697747367488,2026-09
