strike,kind,bid,ask,mid,mark_iv,open_interest
73000,Put,0.023,0.024,0.0235,38.18,31.5
104000,Call,0.013,0.014,0.0135,39.17,98.2
70000,Call,0.1585,0.161,0.15975,39.39,6.3
81000,Put,0.0305,0.0315,0.031,33.81,9.0
79500,Call,0.0185,0.022,0.020249999999999997,27.34,7.1
90000,Put,0.1165,0.1235,0.12,34.86,6.4
82000,Put,0.0245,0.026,0.02525,34.45,534.0
82000,Call,0.0029,0.0034,0.00315,29.28,22.7
58000,Call,0.298,0.303,0.3005,46.78,40.3
79000,Call,0.0615,0.0635,0.0625,34.71,271.2
85000,Call,0.0145,0.0155,0.015,34.37,403.1
90000,Call,0.1085,0.111,0.10975,39.55,766.5
79000,Call,0.032,0.034,0.033,33.36,2654.2
79000,Call,0.04,0.0415,0.04075,34.04,392.6
75500,Call,0.0665,0.0695,0.068,46.05,8.7
78000,Call,0.14,0.1425,0.14125,39.0,646.9
85000,Put,0.051,0.056,0.0535,37.46,453.9
68000,Put,0.012,0.013,0.0125,40.42,144.8
81000,Put,0.025,0.026,0.025500000000000002,34.09,9.6
82000,Call,0.027,0.028,0.0275,33.88,250.1
95000,Put,0.1805,0.191,0.18575,37.62,112.9
81000,Put,0.058,0.0595,0.05875,36.47,37.7
74000,Put,0.0001,0.0002,0.00015000000000000001,44.98,26.5
78000,Call,0.054,0.056,0.055,34.21,26.6
125000,Put,0.5385,0.547,0.5427500000000001,82.25,21.4
55000,Put,0.022,0.024,0.023,45.24,36.1
75500,Put,0.0001,0.0003,0.00019999999999999998,38.48,20.2
96000,Call,0.0555,0.0575,0.0565,38.62,162.5
60000,Call,0.263,0.267,0.265,49.41,14.4
76000,Put,0.02,0.0205,0.02025,35.47,489.8
66000,Call,0.1915,0.1955,0.1935,42.19,89.5
70000,Put,0.024,0.0245,0.02425,39.77,1468.7
90000,Call,0.013,0.0135,0.01325,34.86,3082.2
98000,Call,0.012,0.013,0.0125,37.96,326.8
125000,Call,0.0034,0.0039,0.0036499999999999996,44.36,502.8
40000,Put,0.007,0.0085,0.00775,53.91,1227.2
81000,Call,0.0325,0.0335,0.033,33.81,97.0
100000,Call,0.018,0.019,0.0185,38.33,5815.8
62000,Put,0.0235,0.025,0.02425,42.78,234.6
102000,Put,0.2555,0.2625,0.259,65.29,6.1
73500,Call,0.0905,0.095,0.09275,46.31,8.8
80000,Call,0.0735,0.075,0.07425,36.59,1143.5
76000,Call,0.067,0.071,0.069,35.06,49.7
92000,Call,0.022,0.023,0.0225,36.76,72.3
77000,Put,0.0008,0.0011,0.0009500000000000001,33.36,6.8
58000,Put,0.0065,0.0075,0.006999999999999999,46.78,1835.4
220000,Call,0.0002,0.0007,0.00045,66.46,256.1
80000,Call,0.127,0.1295,0.12825,38.77,1100.3
77000,Call,0.051,0.055,0.053,34.62,617.2
56000,Put,0.0055,0.006,0.00575,48.53,520.4
75000,Put,0.0012,0.0015,0.00135,37.21,4374.0
140000,Call,0.0018,0.0022,0.002,48.74,1431.9
72000,Call,0.1095,0.112,0.11075,59.89,7.4
71000,Call,0.134,0.1395,0.13675,38.16,968.1
90000,Call,0.0008,0.0011,0.0009500000000000001,44.24,9388.5
81000,Put,0.0055,0.0065,0.006,34.83,40.9
73000,Call,0.0975,0.102,0.09975,41.35,52.3
76000,Put,0.044,0.0445,0.04425,38.08,439.2
250000,Call,0.0001,0.0004,0.00025,70.97,1281.8
85000,Call,0.132,0.1345,0.13325,39.66,162.6
45000,Put,0.0105,0.012,0.01125,50.36,122.8
106000,Call,0.058,0.06,0.059,39.95,18.6
70000,Call,0.2015,0.204,0.20274999999999999,40.33,799.8
79500,Call,0.0205,0.023,0.02175,27.47,22.2
40000,Put,0.0002,0.0004,0.00030000000000000003,79.85,83.3
77000,Put,0.008,0.0085,0.00825,34.56,135.4
108000,Call,0.054,0.056,0.055,40.05,23.4
45000,Put,0.006,0.0065,0.00625,52.78,260.0
108000,Call,0.0048,0.0055,0.00515,40.93,14.4
83000,Call,0.0555,0.057,0.05625,36.35,84.1
81000,Call,0.009,0.01,0.0095,28.14,117.7
78000,Put,0.042,0.043,0.042499999999999996,36.83,186.1
65000,Put,0.014,0.0145,0.01425,42.07,810.6
76500,Call,0.0545,0.057,0.05575,41.1,10.8
104000,Call,0.0065,0.0075,0.006999999999999999,39.46,11.3
68000,Put,0.0014,0.0017,0.00155,42.43,11.2
130000,Call,0.025,0.027,0.026000000000000002,41.99,784.6
40000,Call,0.5125,0.5165,0.5145,67.91,250.9
86000,Call,0.0415,0.0425,0.042,36.31,180.8
105000,Call,0.035,0.0365,0.035750000000000004,39.3,246.2
100000,Put,0.2435,0.256,0.24975,38.86,12.3
77500,Put,0.0005,0.0007,0.0006000000000000001,31.31,17.2
76000,Call,0.0605,0.063,0.06175,44.34,6.8
20000,Put,0.0002,0.0005,0.00035,99.28,898.7
74000,Call,0.1035,0.1085,0.106,36.22,250.7
78500,Call,0.0315,0.0355,0.0335,30.75,9.6
77000,Put,0.0002,0.0003,0.00025,38.11,57.6
80000,Call,0.1595,0.1625,0.161,39.95,171.3
140000,Call,0.008,0.009,0.0085,44.22,909.6
62000,Call,0.2515,0.258,0.25475000000000003,43.87,247.1
81000,Call,0.007,0.0075,0.0072499999999999995,27.45,82.0
82000,Call,0.148,0.151,0.1495,39.8,76.7
71000,Put,0.0085,0.0095,0.009000000000000001,38.16,687.7
77500,Put,0.0001,0.0002,0.00015000000000000001,47.87,115.6
110000,Call,0.05,0.052,0.051000000000000004,40.2,265.2
30000,Call,0.6285,0.631,0.62975,123.95,135.5
85000,Put,0.1425,0.1455,0.144,39.66,11.4
86000,Call,0.0075,0.008,0.00775,36.11,91.2
108000,Call,0.03,0.0315,0.03075,39.56,68.1
79000,Put,0.0008,0.0011,0.0009500000000000001,28.83,8.0
77500,Call,0.0415,0.0445,0.043,47.87,91.4
104000,Call,0.063,0.065,0.064,39.84,26.5
60000,Call,0.275,0.28,0.2775,45.59,786.8
55000,Put,0.013,0.0145,0.01375,46.07,1259.2
150000,Call,0.0145,0.0155,0.015,44.11,220.0
58000,Call,0.2825,0.286,0.28425,67.82,460.6
91000,Call,0.0115,0.012,0.01175,35.27,149.7
78000,Call,0.0355,0.04,0.03775,30.0,32.5
82000,Put,0.0495,0.0505,0.05,34.48,70.6
75000,Put,0.0042,0.0045,0.00435,35.83,392.8
76000,Call,0.0605,0.063,0.06175,52.75,77.8
54000,Put,0.0009,0.0011,0.001,57.42,189.8
79000,Put,0.0004,0.0006,0.0005,38.14,32.0
135000,Put,0.662,0.67,0.666,82.26,11.5
70000,Put,0.0021,0.0025,0.0023,39.84,76.9
80000,Call,0.089,0.09,0.0895,37.48,9009.9
81000,Put,0.0175,0.0185,0.018000000000000002,33.75,606.8
105000,Put,0.287,0.298,0.2925,39.35,109.5
73000,Put,0.0006,0.0008,0.0007,41.35,1643.4
78000,Call,0.0355,0.0385,0.037,45.09,762.0
106000,Call,0.0055,0.0065,0.006,40.17,15.4
67000,Put,0.0105,0.0115,0.011,41.01,57.0
64000,Put,0.0029,0.0032,0.0030499999999999998,44.22,647.1
75000,Call,0.095,0.0975,0.09625,35.89,1176.5
60000,Call,0.294,0.302,0.298,43.57,647.9
70000,Put,0.0009,0.0011,0.001,41.36,925.0
85000,Call,0.028,0.029,0.0285,34.4,2176.7
80500,Call,0.012,0.0135,0.012750000000000001,27.91,25.0
66000,Put,0.0038,0.0042,0.004,42.19,478.5
72000,Call,0.151,0.153,0.152,39.06,1238.1
78000,Call,0.041,0.0435,0.042249999999999996,33.89,4773.9
80000,Call,0.016,0.0175,0.01675,27.66,20.1
84000,Call,0.0002,0.0004,0.00030000000000000003,47.48,61.8
40000,Put,0.0017,0.002,0.00185,67.91,4629.3
90000,Call,0.005,0.0055,0.0052499999999999995,36.78,31.3
86000,Call,0.0115,0.0125,0.012,34.78,223.3
135000,Call,0.0022,0.0026,0.0024000000000000002,47.38,1394.4
78500,Call,0.03,0.034,0.032,28.83,6.5
76000,Call,0.086,0.088,0.087,35.47,487.3
86000,Call,0.001,0.0012,0.0010999999999999998,39.46,11.0
68000,Put,0.055,0.0575,0.05625,41.54,19.9
85000,Put,0.0965,0.0975,0.097,37.17,582.1
95000,Call,0.016,0.017,0.0165,37.23,53.4
84000,Put,0.089,0.0905,0.08975,37.17,85.2
76500,Put,0.0001,0.0003,0.00019999999999999998,41.1,69.5
70000,Call,0.145,0.15,0.1475,38.84,1062.3
75500,Put,0.0001,0.0002,0.00015000000000000001,46.05,31.5
86000,Call,0.024,0.025,0.0245,34.44,869.4
84000,Put,0.0415,0.045,0.04325,36.23,47.5
120000,Call,0.002,0.0023,0.00215,44.87,104.2
72000,Call,0.214,0.217,0.2155,40.87,90.3
79000,Put,0.0145,0.0155,0.015,34.04,132.9
110000,Put,0.352,0.367,0.3595,40.2,5.3
85000,Call,0.0002,0.0004,0.00030000000000000003,38.08,65.3
60000,Call,0.2575,0.2615,0.2595,67.82,832.6
110000,Put,0.354,0.361,0.3575,79.74,215.8
110000,Call,0.0041,0.0045,0.0043,41.4,70.3
130000,Call,0.0027,0.0032,0.0029500000000000004,45.86,1560.6
92000,Call,0.0685,0.0705,0.0695,38.49,276.3
87000,Call,0.021,0.0215,0.021249999999999998,34.53,849.1
58000,Put,0.0275,0.0295,0.028499999999999998,44.18,100.8
88000,Call,0.018,0.0185,0.01825,34.63,1192.7
84000,Call,0.0005,0.0007,0.0006000000000000001,34.99,16.3
